2025-10-25 22:40:16,415 | INFO | golden_backtest | #0001 🎯 SELL @ $3363.40 | P&L: $1.58 | Balance: $101.58 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.6✅ ADX:41.9✅
2025-10-25 22:40:16,786 | INFO | golden_backtest | #0045 🎯 SELL @ $3330.20 | P&L: $2.36 | Balance: $185.56 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:37.4✅ ADX:33.8✅
2025-10-25 22:40:16,790 | INFO | golden_backtest | #0046 🎯 SELL @ $3337.60 | P&L: $2.34 | Balance: $187.90 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:45.7✅ ADX:34.8✅
2025-10-25 22:40:16,794 | INFO | golden_backtest | #0047 🎯 SELL @ $3344.70 | P&L: $1.78 | Balance: $189.68 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:43.9✅ ADX:34.3✅
2025-10-25 22:40:16,797 | INFO | golden_backtest | #0048 🎯 SELL @ $3346.30 | P&L: $2.04 | Balance: $191.72 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:45.9✅ ADX:32.4✅
2025-10-25 22:40:16,801 | INFO | golden_backtest | #0049 🎯 SELL @ $3346.90 | P&L: $1.82 | Balance: $193.54 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:49.2✅ ADX:29.4✅
2025-10-25 22:40:16,805 | INFO | golden_backtest | #0050 🎯 SELL @ $3345.00 | P&L: $1.95 | Balance: $195.49 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:47.5✅ ADX:27.3✅
2025-10-25 22:40:16,809 | INFO | golden_backtest | #0051 🎯 SELL @ $3341.60 | P&L: $2.25 | Balance: $197.74 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:41.3✅ ADX:25.6✅
2025-10-25 22:40:16,813 | INFO | golden_backtest | #0052 🎯 SELL @ $3335.00 | P&L: $1.67 | Balance: $199.41 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.7✅ ADX:25.8✅
2025-10-25 22:40:16,820 | INFO | golden_backtest | #0053 🎯 SELL @ $3331.70 | P&L: $1.47 | Balance: $200.88 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.5✅ ADX:28.1✅
2025-10-25 22:40:16,839 | INFO | golden_backtest | #0054 🎯 SELL @ $3309.80 | P&L: $1.46 | Balance: $202.34 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:33.2✅ ADX:38.6✅
2025-10-25 22:40:16,884 | INFO | golden_backtest | #0055 🎯 SELL @ $3289.70 | P&L: $2.14 | Balance: $204.48 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:35.9✅ ADX:68.9✅
2025-10-25 22:40:16,887 | INFO | golden_backtest | #0056 🎯 SELL @ $3288.00 | P&L: $2.30 | Balance: $206.78 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:35.2✅ ADX:69.0✅
2025-10-25 22:40:16,895 | INFO | golden_backtest | #0057 🎯 SELL @ $3286.10 | P&L: $2.23 | Balance: $209.01 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:33.7✅ ADX:70.5✅
2025-10-25 22:40:16,899 | INFO | golden_backtest | #0058 🎯 SELL @ $3274.70 | P&L: $2.26 | Balance: $211.28 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:33.4✅ ADX:69.6✅
2025-10-25 22:40:16,906 | INFO | golden_backtest | #0059 🎯 SELL @ $3275.30 | P&L: $2.07 | Balance: $213.34 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.2✅ ADX:66.3✅
2025-10-25 22:40:16,910 | INFO | golden_backtest | #0060 🎯 SELL @ $3285.20 | P&L: $2.02 | Balance: $215.36 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:40.0✅ ADX:64.2✅
2025-10-25 22:40:16,914 | INFO | golden_backtest | #0061 🎯 SELL @ $3291.60 | P&L: $1.74 | Balance: $217.10 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:49.0✅ ADX:61.0✅
2025-10-25 22:40:16,918 | INFO | golden_backtest | #0062 🎯 SELL @ $3289.20 | P&L: $1.77 | Balance: $218.87 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:57.3✅ ADX:57.4✅
2025-10-25 22:40:16,921 | INFO | golden_backtest | #0063 🎯 SELL @ $3296.80 | P&L: $1.97 | Balance: $220.85 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:59.3✅ ADX:52.2✅
2025-10-25 22:40:16,936 | INFO | golden_backtest | #0064 🎯 SELL @ $3300.60 | P&L: $2.09 | Balance: $222.93 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:59.1✅ ADX:35.2✅
2025-10-25 22:40:16,940 | INFO | golden_backtest | #0065 🎯 SELL @ $3299.30 | P&L: $1.81 | Balance: $224.74 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:59.5✅ ADX:33.2✅
2025-10-25 22:40:16,948 | INFO | golden_backtest | #0066 🎯 SELL @ $3289.20 | P&L: $2.25 | Balance: $226.99 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:52.6✅ ADX:28.3✅
2025-10-25 22:40:17,159 | INFO | golden_backtest | #0067 🎯 BUY @ $3360.30 | P&L: $2.45 | Balance: $229.44 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:61.6✅ ADX:21.1✅
2025-10-25 22:40:17,163 | INFO | golden_backtest | #0068 🎯 BUY @ $3355.60 | P&L: $2.27 | Balance: $231.71 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:52.9✅ ADX:21.1✅
2025-10-25 22:40:17,167 | INFO | golden_backtest | #0069 🎯 BUY @ $3356.70 | P&L: $1.53 | Balance: $233.24 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:51.4✅ ADX:21.2✅
2025-10-25 22:40:17,171 | INFO | golden_backtest | #0070 🎯 BUY @ $3362.10 | P&L: $1.61 | Balance: $234.85 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:56.9✅ ADX:21.9✅
2025-10-25 22:40:17,175 | INFO | golden_backtest | #0071 🎯 BUY @ $3358.80 | P&L: $1.53 | Balance: $236.38 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:51.0✅ ADX:22.8✅
2025-10-25 22:40:17,178 | INFO | golden_backtest | #0072 🎯 BUY @ $3342.40 | P&L: $1.70 | Balance: $238.08 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:46.5✅ ADX:23.9✅
2025-10-25 22:40:17,279 | INFO | golden_backtest | #0073 🎯 SELL @ $3319.40 | P&L: $1.47 | Balance: $239.55 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.2✅ ADX:39.6✅
2025-10-25 22:40:17,283 | INFO | golden_backtest | #0074 🎯 SELL @ $3318.10 | P&L: $1.60 | Balance: $241.15 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:30.9✅ ADX:42.4✅
2025-10-25 22:40:17,294 | INFO | golden_backtest | #0075 🎯 SELL @ $3318.40 | P&L: $2.05 | Balance: $243.21 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.9✅ ADX:55.4✅
2025-10-25 22:40:17,298 | INFO | golden_backtest | #0076 🎯 SELL @ $3326.00 | P&L: $2.45 | Balance: $245.66 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:42.1✅ ADX:56.7✅
2025-10-25 22:40:17,302 | INFO | golden_backtest | #0077 🎯 SELL @ $3327.80 | P&L: $2.01 | Balance: $247.67 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:44.7✅ ADX:56.5✅
2025-10-25 22:40:17,306 | INFO | golden_backtest | #0078 🎯 SELL @ $3330.60 | P&L: $2.25 | Balance: $249.92 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:53.9✅ ADX:52.7✅
2025-10-25 22:40:17,377 | INFO | golden_backtest | #0079 🎯 SELL @ $3334.40 | P&L: $2.10 | Balance: $252.02 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:34.3✅ ADX:38.0✅
2025-10-25 22:40:17,381 | INFO | golden_backtest | #0080 🎯 SELL @ $3337.50 | P&L: $1.74 | Balance: $253.76 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:34.3✅ ADX:36.7✅
2025-10-25 22:40:17,399 | INFO | golden_backtest | #0081 🎯 SELL @ $3315.10 | P&L: $1.82 | Balance: $255.57 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.5✅ ADX:38.1✅
2025-10-25 22:40:17,403 | INFO | golden_backtest | #0082 🎯 SELL @ $3313.90 | P&L: $2.33 | Balance: $257.90 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.9✅ ADX:38.3✅
2025-10-25 22:40:17,422 | INFO | golden_backtest | #0083 🎯 SELL @ $3315.90 | P&L: $1.56 | Balance: $259.46 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:37.1✅ ADX:48.2✅
2025-10-25 22:40:17,426 | INFO | golden_backtest | #0084 🎯 SELL @ $3310.90 | P&L: $2.33 | Balance: $261.80 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.6✅ ADX:49.9✅
2025-10-25 22:40:17,437 | INFO | golden_backtest | #0085 🎯 SELL @ $3302.10 | P&L: $2.13 | Balance: $263.93 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.6✅ ADX:54.2✅
2025-10-25 22:40:17,441 | INFO | golden_backtest | #0086 🎯 SELL @ $3297.70 | P&L: $2.28 | Balance: $266.21 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:42.5✅ ADX:51.7✅
2025-10-25 22:40:17,445 | INFO | golden_backtest | #0087 🎯 SELL @ $3300.70 | P&L: $1.57 | Balance: $267.78 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:43.8✅ ADX:48.6✅
2025-10-25 22:40:17,449 | INFO | golden_backtest | #0088 🎯 SELL @ $3300.00 | P&L: $1.79 | Balance: $269.57 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:40.9✅ ADX:45.3✅
2025-10-25 22:40:17,456 | INFO | golden_backtest | #0089 🎯 SELL @ $3297.10 | P&L: $2.14 | Balance: $271.72 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:34.3✅ ADX:47.2✅
2025-10-25 22:40:17,460 | INFO | golden_backtest | #0090 🎯 SELL @ $3303.60 | P&L: $2.45 | Balance: $274.17 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:42.3✅ ADX:46.5✅
2025-10-25 22:40:17,464 | INFO | golden_backtest | #0091 🎯 SELL @ $3292.80 | P&L: $1.47 | Balance: $275.64 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:36.6✅ ADX:45.8✅
2025-10-25 22:40:17,468 | INFO | golden_backtest | #0092 🎯 SELL @ $3305.00 | P&L: $1.57 | Balance: $277.20 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:46.8✅ ADX:44.1✅
2025-10-25 22:40:17,472 | INFO | golden_backtest | #0093 🎯 SELL @ $3310.90 | P&L: $1.61 | Balance: $278.81 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:50.3✅ ADX:41.2✅
2025-10-25 22:40:17,475 | INFO | golden_backtest | #0094 🎯 SELL @ $3321.00 | P&L: $2.43 | Balance: $281.25 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:52.9✅ ADX:38.7✅
2025-10-25 22:40:17,479 | INFO | golden_backtest | #0095 🎯 SELL @ $3318.40 | P&L: $2.42 | Balance: $283.67 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:54.3✅ ADX:35.8✅
2025-10-25 22:40:17,656 | INFO | golden_backtest | #0096 🎯 BUY @ $3368.40 | P&L: $2.00 | Balance: $285.66 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:66.7✅ ADX:75.6✅
2025-10-25 22:40:17,660 | INFO | golden_backtest | #0097 🎯 BUY @ $3367.40 | P&L: $1.91 | Balance: $287.58 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.2✅ ADX:76.4✅
2025-10-25 22:40:17,664 | INFO | golden_backtest | #0098 🎯 BUY @ $3370.40 | P&L: $2.34 | Balance: $289.92 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:68.8✅ ADX:77.3✅
2025-10-25 22:40:17,668 | INFO | golden_backtest | #0099 🎯 BUY @ $3371.60 | P&L: $1.82 | Balance: $291.73 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:67.6✅ ADX:76.4✅
2025-10-25 22:40:17,672 | INFO | golden_backtest | #0100 🎯 BUY @ $3370.60 | P&L: $1.52 | Balance: $293.25 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:69.7✅ ADX:75.2✅
2025-10-25 22:40:17,676 | INFO | golden_backtest | #0101 🎯 BUY @ $3373.90 | P&L: $1.57 | Balance: $294.82 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:67.0✅ ADX:73.7✅
2025-10-25 22:40:17,691 | INFO | golden_backtest | #0102 🎯 BUY @ $3376.80 | P&L: $1.61 | Balance: $296.43 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.2✅ ADX:65.1✅
2025-10-25 22:40:17,695 | INFO | golden_backtest | #0103 🎯 BUY @ $3381.90 | P&L: $2.08 | Balance: $298.51 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:63.2✅ ADX:61.4✅
2025-10-25 22:40:17,699 | INFO | golden_backtest | #0104 🎯 BUY @ $3382.90 | P&L: $1.97 | Balance: $300.48 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:68.0✅ ADX:57.7✅
2025-10-25 22:40:17,702 | INFO | golden_backtest | #0105 🎯 BUY @ $3374.40 | P&L: $1.62 | Balance: $302.10 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:50.3✅ ADX:52.4✅
2025-10-25 22:40:17,710 | INFO | golden_backtest | #0106 🎯 BUY @ $3363.30 | P&L: $1.88 | Balance: $303.98 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:46.1✅ ADX:44.5✅
2025-10-25 22:40:17,725 | INFO | golden_backtest | #0107 🎯 BUY @ $3359.20 | P&L: $1.81 | Balance: $305.79 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:42.9✅ ADX:36.6✅
2025-10-25 22:40:17,763 | INFO | golden_backtest | #0108 🎯 BUY @ $3369.50 | P&L: $2.39 | Balance: $308.18 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:56.5✅ ADX:41.4✅
2025-10-25 22:40:17,771 | INFO | golden_backtest | #0109 🎯 BUY @ $3367.00 | P&L: $1.46 | Balance: $309.64 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:67.8✅ ADX:43.9✅
2025-10-25 22:40:17,779 | INFO | golden_backtest | #0110 🎯 BUY @ $3369.50 | P&L: $2.37 | Balance: $312.01 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:62.0✅ ADX:44.4✅
2025-10-25 22:40:17,782 | INFO | golden_backtest | #0111 🎯 BUY @ $3372.40 | P&L: $1.52 | Balance: $313.54 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:66.4✅ ADX:44.2✅
2025-10-25 22:40:17,790 | INFO | golden_backtest | #0112 🎯 BUY @ $3363.60 | P&L: $1.54 | Balance: $315.08 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:62.1✅ ADX:43.5✅
2025-10-25 22:40:17,794 | INFO | golden_backtest | #0113 🎯 BUY @ $3357.30 | P&L: $1.49 | Balance: $316.57 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:53.2✅ ADX:39.0✅
2025-10-25 22:40:17,798 | INFO | golden_backtest | #0114 🎯 BUY @ $3355.10 | P&L: $1.85 | Balance: $318.42 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:50.8✅ ADX:35.7✅
2025-10-25 22:40:17,802 | INFO | golden_backtest | #0115 🎯 BUY @ $3355.60 | P&L: $2.01 | Balance: $320.43 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:48.8✅ ADX:33.5✅
2025-10-25 22:40:17,919 | INFO | golden_backtest | #0116 🎯 BUY @ $3352.00 | P&L: $1.56 | Balance: $321.98 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:52.5✅ ADX:29.9✅
2025-10-25 22:40:17,979 | INFO | golden_backtest | #0117 🎯 SELL @ $3342.30 | P&L: $1.83 | Balance: $323.81 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:43.9✅ ADX:56.0✅
2025-10-25 22:40:17,987 | INFO | golden_backtest | #0118 🎯 SELL @ $3342.80 | P&L: $1.82 | Balance: $325.63 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:46.2✅ ADX:55.5✅
